Restaurant,Menu_Item,Price,Category
"The Gourmet Kitchen","Truffle Pasta",450,"Main Course"
"The Gourmet Kitchen","Bruschetta",250,"Starter"
"The Gourmet Kitchen","Tiramisu",300,"Dessert"
"Spicy Tadka","Butter Chicken",380,"Main Course"
"Spicy Tadka","Garlic Naan",60,"Bread"
"Spicy Tadka","Dal Makhani",280,"Main Course"
"Sushi World","Salmon Nigiri",600,"Main Course"
"Sushi World","Miso Soup",150,"Starter"
"Sushi World","Matcha Ice Cream",200,"Dessert"
"Burger King","Whopper Meal",250,"Main Course"
"Burger King","French Fries",100,"Side"
"Pizza Hut","Pepperoni Feast",550,"Main Course"
"Pizza Hut","Garlic Bread",120,"Starter"
"Ocean Delight","Grilled Lobster",1200,"Main Course"
"Green Leaf","Paneer Tikka",320,"Starter"
"Green Leaf","Veg Biryani",350,"Main Course"
"Taco Bell","Chicken Quesadilla",180,"Main Course"
"Cafe Coffee Day","Cappuccino",150,"Beverage"
"Baskin Robbins","Vanilla Scoop",120,"Dessert"
